Route_ID;Route_Name;SERVICE_NA;UN;OP_NOC;DIST;PO_MOD;SENTIDO;COD_USUARI;COD_TS;COD_SINSER;COD_SINRUT;COD_USUSEN;TIPO_SERV;FREC_PM;FREC_PT;PLAZAS_PM;PLAZAS_PT;SEL_PM;SEL_PT;SEN1;VALIDA
7839;E14RPMPT;VARIANTE PUNTA MAÑANA PUNTA TARDE;3;;7.348504477;Sin Modificacion;R;E14;364;T364;T364 01R;E14R;2;4;0;457;0;1;0;0;1
7840;E14R;(M) BELLAVISTA DE LA FLORIDA - SAN JOSE DE LA ESTRELLA;3;;8.473805636;Sin Modificacion;R;E14;364;T364;T364 00R;E14R;1;0;0;0;0;0;0;0;1
7841;E14RPT2;VARIANTE PUNTA TARDE;3;;8.512928057;Sin Modificacion;R;E14;364;T364;T364 02R;E14R;2;0;5;0;539;0;1;0;1
7842;E14RPRN;VARIANTE PRENOCTURNA;3;;8.473805636;Sin Modificacion;R;E14;364;T364;T364 03R;E14R;2;0;0;0;0;0;0;0;1
7848;323I;(M) BELLAVISTA DE LA FLORIDA - LA LOMA;3;;9.479575364;Sin Modificacion;I;323;323;T323;T323 00I;323I;1;4;5;247;291;1;1;0;1
7849;323IPRN;VARIANTE PRENOCTURNA;3;;9.495733691;Sin Modificacion;I;323;323;T323;T323 03I;323I;2;0;0;0;0;0;0;0;1
7850;F25eR;(M) BELLAVISTA DE LA FLORIDA - BAJOS DE MENA;7;;15.77707631;Sin Modificacion;R;F25e;F25e;F25e;F25 E0 01R;F25eR;1;4;0;360;0;1;0;0;1
7852;F25eRPT;VARIANTE PUNTA TARDE;7;;19.05012711;Sin Modificacion;R;F25e;F25e;F25e;F25 E0 02R;F25eR;2;0;3;0;270;0;1;0;1
7853;F25eR_fmavi;VARIANTE FERIA;7;;17.73851354;Sin Modificacion;R;F25e;F25e;F25e;F25 E0 06R;F25eR;5;0;0;0;0;0;0;0;1
7857;E03RN;VARIANTE NOCTURNA;3;;14.75219876;Sin Modificacion;R;E03;353;T353;T353 03R;E03R;2;0;0;0;0;0;0;0;1
7892;H07I;(M) ÑUBLE - (M) LO OVALLE;3;;15.91759687;Sin Modificacion;I;H07;337;T337;T337 00I;H07I;1;0;5;0;490;0;1;0;1
7893;H07IPRN;VARIANTE PRENOCTURNA;3;;16.43667686;Sin Modificacion;I;H07;337;T337;T337 03I;H07I;2;0;0;0;0;0;0;0;1
7894;H07IPM;VARIANTE PUNTA MAÑANA;3;;15.58365748;Sin Modificacion;I;H07;337;T337;T337 01I;H07I;2;5;0;522;0;1;0;0;1
7933;E03IN;VARIANTE NOCTURNA;3;;14.82763692;Sin Modificacion;I;E03;353;T353;T353 03I;E03I;2;0;0;0;0;0;0;0;1
8095;H09R;(M) CARLOS VALDOVINOS - POBL. DAVILA;3;;9.99485031;Sin Modificacion;R;H09;339;T339;T339 00R;H09R;1;4;4;457;441;1;1;0;1
8096;H09R_cvd;VARIANTE CICLOVIA;3;;11.00250195;Sin Modificacion;R;H09;339;T339;T339 07R;H09R;6;0;0;0;0;0;0;0;1
